Player,Pos,Age,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,ORB,DRB,TRB,AST,STL,BLK,testdata
Nickeil Alexander-Walker,2,24,TOT,2.2,5.0,0.444,1.0,2.7,0.384,1.2,2.3,0.515,0.3,1.5,1.7,1.8,0.5,0.4,1
Grayson Allen,2,27,MIL,3.4,7.7,0.44,2.0,5.1,0.399,1.4,2.7,0.518,0.8,2.4,3.3,2.3,0.9,0.2,0
Terry Rozier,2,28,CHO,7.8,18.9,0.415,2.6,8.0,0.327,5.2,10.8,0.48,0.8,3.3,4.1,5.1,1.2,0.3,0
Hamidou Diallo,2,24,DET,3.8,6.7,0.573,0.1,0.4,0.238,3.8,6.3,0.593,1.0,2.4,3.5,1.0,0.9,0.3,0
Terrence Ross,2,31,TOT,3.2,7.4,0.43,1.5,4.1,0.368,1.7,3.3,0.507,0.3,2.1,2.4,1.5,0.6,0.2,0
Donte DiVincenzo,2,26,GSW,3.3,7.5,0.435,2.1,5.3,0.397,1.2,2.3,0.525,1.1,3.4,4.5,3.5,1.3,0.1,0
Austin Rivers,2,30,MIN,1.8,4.0,0.435,0.8,2.4,0.35,0.9,1.7,0.558,0.1,1.5,1.6,1.4,0.5,0.1,0
Alondes Williams,2,23,BRK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
Tyler Dorsey,2,26,DAL,1.3,1.7,0.8,0.3,0.7,0.5,1.0,1.0,1.0,0.3,0.3,0.7,0.0,0.0,0.0,1
A.J. Green,2,23,MIL,1.5,3.6,0.424,1.3,3.0,0.419,0.3,0.6,0.45,0.2,1.1,1.3,0.6,0.2,0.0,0
Jared Butler,2,22,OKC,2.5,5.3,0.469,1.2,2.3,0.5,1.3,3.0,0.444,0.2,0.5,0.7,1.3,0.8,0.0,1
Deonte Burton,2,29,SAC,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PJ Dozier,2,26,SAC,0.6,2.1,0.303,0.1,1.0,0.125,0.5,1.1,0.471,0.1,0.8,0.9,0.6,0.4,0.1,0
Alec Burks,2,31,DET,3.9,9.0,0.436,1.9,4.7,0.414,2.0,4.3,0.459,0.4,2.7,3.1,2.2,0.7,0.2,0
Josh Richardson,2,29,TOT,3.7,8.5,0.431,1.6,4.5,0.365,2.0,4.0,0.506,0.6,2.1,2.7,2.7,1.1,0.3,0
David Duke Jr.,2,23,BRK,1.6,3.4,0.462,0.0,0.5,0.083,1.5,2.9,0.53,0.5,0.8,1.3,0.9,0.4,0.0,0
Jared Rhoden,2,23,DET,1.2,3.1,0.386,0.4,1.4,0.25,0.9,1.7,0.5,0.8,1.9,2.6,0.3,0.3,0.1,1
Luguentz Dort,2,23,OKC,4.6,11.8,0.388,1.8,5.5,0.33,2.8,6.3,0.44,1.7,2.9,4.6,2.1,1.0,0.3,1
Edmond Sumner,2,27,BRK,2.3,5.1,0.461,0.6,1.6,0.356,1.8,3.4,0.511,0.2,1.2,1.5,1.3,0.6,0.2,0
Terence Davis,2,25,SAC,2.4,5.7,0.423,1.4,3.8,0.366,1.0,1.9,0.537,0.3,1.9,2.2,1.0,0.7,0.2,0
Donovan Williams,2,21,ATL,1.0,2.5,0.4,0.0,1.0,0.0,1.0,1.5,0.667,0.0,1.0,1.0,0.0,0.0,0.0,0
Dru Smith,2,25,TOT,1.2,3.0,0.4,0.3,1.3,0.263,0.9,1.7,0.5,0.1,1.5,1.6,1.5,0.7,0.3,0
Jeenathan Williams,2,23,POR,4.8,7.8,0.615,0.6,1.6,0.375,4.2,6.2,0.677,2.0,1.0,3.0,2.0,0.6,0.4,0
Max Christie,2,19,LAL,1.1,2.6,0.415,0.6,1.5,0.419,0.4,1.1,0.409,0.2,1.7,1.8,0.5,0.2,0.2,0
Josh Christopher,2,21,HOU,2.4,5.1,0.465,0.3,1.4,0.236,2.1,3.8,0.55,0.3,0.8,1.1,1.1,0.5,0.2,1
Anfernee Simons,2,23,POR,7.5,16.9,0.447,3.4,9.1,0.377,4.1,7.8,0.528,0.3,2.3,2.6,4.1,0.7,0.2,0
Jordan Clarkson,2,30,UTA,7.5,16.9,0.444,2.5,7.5,0.338,5.0,9.4,0.53,1.2,2.9,4.0,4.4,0.5,0.2,0
Amir Coffey,2,25,LAC,1.1,2.9,0.386,0.2,0.8,0.275,0.9,2.1,0.429,0.3,0.7,1.1,1.1,0.1,0.1,0
Ochai Agbaji,2,22,UTA,2.8,6.5,0.427,1.4,3.9,0.355,1.4,2.7,0.532,0.7,1.3,2.1,1.1,0.3,0.3,0
Johnny Davis,2,20,WAS,2.4,6.1,0.386,0.6,2.5,0.243,1.8,3.6,0.485,0.4,2.0,2.3,1.0,0.4,0.3,1
Jalen Williams,2,21,OKC,5.5,10.6,0.521,1.0,2.7,0.356,4.5,7.9,0.579,1.1,3.4,4.5,3.3,1.4,0.5,0
Pat Connaughton,2,30,MIL,2.7,6.9,0.392,1.8,5.3,0.339,0.9,1.6,0.566,0.8,3.8,4.6,1.3,0.6,0.2,1
Landry Shamet,2,25,PHO,2.8,7.5,0.377,1.9,5.0,0.377,1.0,2.5,0.376,0.3,1.4,1.7,2.3,0.7,0.1,0
Collin Sexton,2,24,UTA,4.9,9.8,0.506,1.0,2.5,0.393,3.9,7.2,0.546,0.8,1.4,2.2,2.9,0.6,0.1,0
Dereon Seabron,2,22,NOP,0.4,1.0,0.4,0.0,0.0,0.0,0.4,1.0,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0
Jarrett Culver,2,23,ATL,1.7,4.3,0.395,0.1,1.2,0.083,1.6,3.1,0.516,1.0,2.8,3.8,0.6,0.6,0.2,0
Jay Scrubb,2,22,ORL,2.5,3.5,0.714,1.0,1.0,1.0,1.5,2.5,0.6,0.0,3.0,3.0,0.5,1.0,0.0,0
Seth Curry,2,32,BRK,3.4,7.4,0.463,1.5,3.8,0.405,1.9,3.6,0.525,0.2,1.4,1.6,1.6,0.6,0.1,0
Jaden Springer,2,20,PHI,1.1,2.2,0.486,0.1,0.3,0.4,0.9,1.9,0.5,0.4,0.5,0.9,0.5,0.4,0.2,0
Shaedon Sharpe,2,19,POR,3.8,8.1,0.472,1.3,3.5,0.36,2.6,4.6,0.559,0.8,2.2,3.0,1.2,0.5,0.3,0
Aaron Wiggins,2,24,OKC,2.7,5.2,0.512,0.7,1.7,0.393,2.0,3.4,0.573,1.0,2.0,3.0,1.1,0.6,0.2,0
Ayo Dosunmu,2,23,CHI,3.5,7.1,0.493,0.7,2.4,0.312,2.8,4.8,0.583,0.6,2.2,2.8,2.6,0.8,0.3,0
Davon Reed,2,27,TOT,0.7,2.0,0.333,0.4,1.1,0.37,0.3,0.9,0.289,0.2,1.1,1.4,0.5,0.3,0.1,0
Norman Powell,2,29,LAC,5.7,11.8,0.479,1.9,4.8,0.397,3.8,7.1,0.534,0.4,2.5,2.9,1.8,0.8,0.3,0
Vince Williams Jr.,2,22,MEM,0.8,2.7,0.3,0.3,1.9,0.143,0.5,0.8,0.667,0.3,0.7,1.0,0.3,0.4,0.1,0
Coby White,2,22,CHI,3.6,8.0,0.443,1.7,4.6,0.372,1.8,3.4,0.54,0.2,2.6,2.9,2.8,0.7,0.1,0
Sterling Brown,2,27,LAL,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.8,1.3,2.0,0.5,0.8,0.0,0
Blake Wesley,2,19,SAS,1.9,5.8,0.321,0.5,1.4,0.385,1.3,4.4,0.301,0.3,1.9,2.2,2.7,0.7,0.1,0
Joshua Primo,2,20,SAS,2.3,6.5,0.346,0.8,3.0,0.25,1.5,3.5,0.429,0.5,2.8,3.3,4.5,0.3,0.5,1
Evan Fournier,2,30,NYK,2.1,6.1,0.337,1.3,4.2,0.307,0.8,1.9,0.404,0.1,1.7,1.8,1.3,0.6,0.1,0
Josh Giddey,2,20,OKC,7.1,14.7,0.482,1.0,3.1,0.325,6.1,11.6,0.524,1.9,5.9,7.9,6.2,0.8,0.4,0
Kendall Brown,2,19,IND,0.7,1.2,0.571,0.0,0.2,0.0,0.7,1.0,0.667,0.3,0.7,1.0,0.5,0.7,0.0,0
Bryn Forbes,2,29,MIN,1.2,3.3,0.361,0.6,1.8,0.304,0.6,1.5,0.432,0.2,0.4,0.6,0.7,0.3,0.1,0
Trevelin Queen,2,25,IND,1.0,4.1,0.241,0.3,2.1,0.133,0.7,2.0,0.357,1.1,1.3,2.4,0.9,0.3,0.7,0
Paul George,2,32,LAC,8.2,17.9,0.457,2.8,7.6,0.371,5.4,10.3,0.521,0.8,5.3,6.1,5.1,1.5,0.4,0
Peyton Watson,2,20,DEN,1.3,2.6,0.492,0.3,0.6,0.429,1.0,2.0,0.511,0.3,1.3,1.6,0.5,0.1,0.5,0
Anthony Edwards,2,21,MIN,8.9,19.5,0.459,2.7,7.3,0.369,6.3,12.2,0.513,0.6,5.2,5.8,4.4,1.6,0.7,0
Keon Ellis,2,23,SAC,0.4,1.0,0.438,0.4,0.8,0.5,0.1,0.3,0.25,0.3,0.3,0.5,0.4,0.3,0.1,0
Garrett Temple,2,36,NOP,0.7,1.8,0.4,0.4,1.0,0.423,0.3,0.8,0.368,0.2,0.5,0.7,0.5,0.4,0.1,0
Eric Gordon,2,34,TOT,4.2,9.5,0.446,1.9,5.2,0.371,2.3,4.3,0.535,0.2,1.7,1.9,2.7,0.6,0.4,0
Lester Quinones,2,22,GSW,0.5,1.3,0.4,0.5,1.0,0.5,0.0,0.3,0.0,0.3,0.5,0.8,0.5,0.3,0.0,1
Austin Reaves,2,24,LAL,4.0,7.7,0.529,1.3,3.4,0.398,2.7,4.3,0.631,0.5,2.5,3.0,3.4,0.5,0.3,0
Derrick White,2,28,BOS,4.3,9.2,0.462,1.8,4.8,0.381,2.5,4.5,0.548,0.6,2.9,3.6,3.9,0.7,0.9,0
Bruce Brown,2,26,DEN,4.5,9.3,0.483,1.1,3.2,0.358,3.3,6.1,0.548,0.8,3.3,4.1,3.4,1.1,0.6,1
Michael Porter Jr.,3,24,DEN,6.4,13.2,0.487,3.0,7.3,0.414,3.4,5.9,0.579,1.0,4.5,5.5,1.0,0.6,0.5,1
Kenyon Martin Jr.,3,22,HOU,5.0,8.8,0.569,0.8,2.6,0.315,4.2,6.1,0.679,1.5,4.0,5.5,1.5,0.5,0.4,0
Nassir Little,3,22,POR,2.5,5.6,0.442,1.1,2.9,0.367,1.4,2.7,0.524,0.5,2.1,2.6,0.9,0.4,0.4,0
Deni Avdija,3,22,WAS,3.3,7.6,0.437,0.9,3.1,0.297,2.4,4.6,0.53,1.0,5.4,6.4,2.8,0.9,0.4,0
Cedi Osman,3,27,CLE,3.1,6.9,0.451,1.5,4.1,0.372,1.6,2.8,0.564,0.3,2.0,2.3,1.5,0.5,0.1,0
Cody Martin,3,27,CHO,2.0,5.1,0.389,0.4,2.0,0.214,1.6,3.1,0.5,1.1,2.3,3.4,1.6,0.6,0.1,0
Isaac Okoro,3,22,CLE,2.3,4.7,0.494,0.8,2.3,0.363,1.5,2.4,0.617,0.7,1.8,2.5,1.1,0.7,0.4,0
Xavier Sneed,3,25,CHO,1.3,2.5,0.5,0.8,1.5,0.5,0.5,1.0,0.5,0.0,1.3,1.3,1.3,0.0,0.3,0
Naji Marshall,3,25,NOP,3.2,7.4,0.433,0.9,2.8,0.303,2.4,4.6,0.513,0.6,3.0,3.6,2.5,0.7,0.2,0
Kawhi Leonard,3,31,LAC,8.6,16.8,0.512,2.0,4.8,0.416,6.6,11.9,0.551,1.1,5.4,6.5,3.9,1.4,0.5,1
Keita Bates-Diop,3,27,SAS,3.5,6.9,0.508,0.8,2.1,0.394,2.7,4.8,0.557,1.0,2.7,3.7,1.5,0.7,0.3,0
Kelly Oubre Jr.,3,27,CHO,7.4,17.1,0.431,2.3,7.1,0.319,5.1,10.0,0.51,1.4,3.8,5.2,1.1,1.4,0.4,0
OG Anunoby,3,25,TOR,6.3,13.2,0.476,2.1,5.5,0.387,4.2,7.7,0.539,1.4,3.5,5.0,2.0,1.9,0.7,0
Eugene Omoruyi,3,25,TOT,2.5,5.7,0.443,0.6,2.2,0.281,1.9,3.5,0.547,1.1,1.7,2.8,0.7,0.7,0.1,0
Otto Porter Jr.,3,29,TOR,1.9,3.8,0.5,0.8,2.1,0.353,1.1,1.6,0.692,0.8,1.6,2.4,1.0,1.4,0.0,0
Lauri Markkanen,3,25,UTA,8.7,17.3,0.499,3.0,7.7,0.391,5.6,9.6,0.585,2.0,6.7,8.6,1.9,0.6,0.6,0
Juan Toscano-Anderson,3,29,TOT,1.2,2.8,0.448,0.2,0.8,0.186,1.1,1.9,0.56,0.5,1.8,2.4,1.3,0.3,0.2,0
Chuma Okeke,3,24,ORL,1.6,4.5,0.352,1.0,3.2,0.302,0.6,1.3,0.472,1.0,2.6,3.6,1.4,0.7,0.4,0
Bennedict Mathurin,3,20,IND,5.3,12.2,0.434,1.3,4.0,0.323,4.0,8.2,0.488,1.1,3.0,4.1,1.5,0.6,0.2,0
Cam Reddish,3,23,TOT,3.5,7.8,0.446,1.1,3.6,0.313,2.4,4.2,0.56,0.5,1.8,2.2,1.4,1.0,0.4,1
Max Strus,3,26,MIA,4.1,9.9,0.41,2.5,7.0,0.35,1.6,2.8,0.559,0.6,2.6,3.2,2.1,0.5,0.2,0
Keegan Murray,3,22,SAC,4.4,9.8,0.453,2.6,6.3,0.411,1.9,3.5,0.527,1.1,3.5,4.6,1.2,0.8,0.5,0
Svi Mykhailiuk,3,25,TOT,2.4,5.4,0.445,1.3,3.1,0.424,1.1,2.3,0.473,0.5,1.2,1.7,1.7,0.5,0.1,0
Aaron Nesmith,3,23,IND,3.5,8.1,0.427,1.6,4.3,0.366,1.9,3.8,0.496,0.8,2.9,3.8,1.3,0.8,0.5,0
Chima Moneke,3,27,SAC,0.5,1.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0
Cole Swider,3,23,LAL,0.4,1.3,0.333,0.4,1.1,0.375,0.0,0.1,0.0,0.1,0.9,1.0,0.6,0.0,0.0,0
Dominick Barlow,3,19,SAS,1.6,3.1,0.535,0.0,0.1,0.0,1.6,2.9,0.561,1.6,2.0,3.6,0.9,0.4,0.7,0
Josh Minott,3,20,MIN,1.2,2.4,0.5,0.1,0.4,0.333,1.1,2.0,0.533,0.3,1.3,1.7,0.3,0.3,0.4,0
Justin Minaya,3,23,POR,1.8,5.8,0.304,0.8,3.0,0.25,1.0,2.8,0.364,0.8,3.0,3.8,1.0,0.5,1.3,1
Thanasis Antetokounmpo,3,30,MIL,0.5,1.2,0.435,0.0,0.2,0.0,0.5,1.0,0.526,0.4,0.8,1.2,0.4,0.1,0.1,1
Khris Middleton,3,31,MIL,5.4,12.3,0.436,1.5,4.9,0.315,3.8,7.4,0.516,0.8,3.4,4.2,4.9,0.7,0.2,0
Duncan Robinson,3,28,MIA,2.1,5.6,0.371,1.5,4.6,0.328,0.6,1.1,0.556,0.2,1.5,1.6,1.1,0.3,0.0,0
Patrick Baldwin Jr.,3,20,GSW,1.4,3.5,0.394,1.0,2.7,0.381,0.4,0.8,0.44,0.0,1.3,1.3,0.4,0.2,0.1,1
Taurean Prince,3,28,MIN,3.3,7.0,0.467,1.4,3.6,0.381,1.9,3.4,0.557,0.3,2.2,2.4,1.6,0.5,0.3,0
Jordan Nwora,3,24,TOT,3.1,7.2,0.436,1.4,3.4,0.408,1.7,3.8,0.462,0.8,2.9,3.7,1.4,0.4,0.2,0
Royce O'Neale,3,29,BRK,3.0,7.8,0.386,2.1,5.5,0.389,0.9,2.3,0.379,0.7,4.3,5.1,3.7,0.9,0.6,0
Doug McDermott,3,31,SAS,3.7,8.2,0.457,1.9,4.7,0.413,1.8,3.5,0.516,0.4,1.8,2.2,1.4,0.2,0.1,0
Jalen McDaniels,3,25,TOT,3.5,7.7,0.455,1.0,2.9,0.332,2.6,4.8,0.53,0.8,3.5,4.3,1.6,1.0,0.4,0
Matt Ryan,3,25,TOT,1.2,3.2,0.37,0.9,2.5,0.381,0.2,0.7,0.333,0.1,0.6,0.8,0.5,0.1,0.0,0
Jaden McDaniels,3,22,MIN,4.7,9.1,0.517,1.4,3.4,0.398,3.3,5.7,0.588,1.2,2.7,3.9,1.9,0.9,1.0,0
Trey Murphy III,3,22,NOP,4.9,10.1,0.484,2.6,6.3,0.406,2.3,3.8,0.611,0.7,2.8,3.6,1.4,1.1,0.5,0
Jordan Schakel,3,24,WAS,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0
Jae'Sean Tate,3,27,HOU,3.5,7.4,0.48,0.4,1.5,0.283,3.1,5.9,0.53,1.3,2.5,3.8,2.7,0.7,0.2,0
Julian Champagnie,3,21,TOT,3.5,7.6,0.454,1.9,4.8,0.402,1.5,2.8,0.542,0.6,2.9,3.5,0.6,0.4,0.3,0
Corey Kispert,3,23,WAS,3.9,7.9,0.497,2.2,5.2,0.424,1.7,2.7,0.637,0.4,2.4,2.8,1.2,0.4,0.1,0
Yuta Watanabe,3,28,BRK,2.0,4.0,0.491,1.0,2.3,0.444,0.9,1.7,0.557,0.5,1.9,2.4,0.8,0.4,0.3,0
Joe Wieskamp,3,23,TOR,0.3,1.6,0.214,0.3,1.3,0.25,0.0,0.2,0.0,0.0,0.4,0.4,0.3,0.0,0.0,0
Kessler Edwards,3,22,TOT,1.0,2.6,0.387,0.5,1.5,0.309,0.5,1.1,0.5,0.6,1.1,1.7,0.6,0.4,0.2,1
De'Andre Hunter,3,25,ATL,5.7,12.3,0.461,1.5,4.3,0.35,4.2,8.0,0.521,0.7,3.6,4.2,1.4,0.5,0.3,0
Andre Iguodala,3,39,GSW,0.9,1.9,0.467,0.1,1.1,0.111,0.8,0.8,1.0,0.4,1.8,2.1,2.4,0.5,0.4,0
Joe Ingles,3,35,MIL,2.3,5.4,0.435,1.8,4.4,0.409,0.5,1.0,0.556,0.3,2.5,2.8,3.3,0.7,0.1,0
Brandon Ingram,3,25,NOP,9.0,18.6,0.484,1.4,3.6,0.39,7.6,14.9,0.507,0.5,5.0,5.5,5.8,0.7,0.4,0
Caleb Houstan,3,20,ORL,1.3,3.6,0.363,0.9,2.7,0.338,0.4,0.9,0.435,0.7,1.3,1.9,0.6,0.2,0.1,0
Reggie Bullock,3,31,DAL,2.5,6.0,0.409,1.9,5.1,0.38,0.5,0.9,0.562,0.4,3.2,3.6,1.4,0.7,0.2,0
Ish Wainright,3,28,PHO,1.4,3.8,0.37,1.0,2.9,0.329,0.5,0.9,0.5,0.8,1.6,2.3,0.9,0.6,0.4,0
Dillon Brooks,3,27,MEM,5.4,13.6,0.396,2.0,6.0,0.326,3.4,7.6,0.451,0.6,2.7,3.3,2.6,0.9,0.2,0
Chris Duarte,3,25,IND,2.7,7.2,0.369,1.2,3.8,0.316,1.5,3.5,0.428,0.4,2.1,2.5,1.4,0.5,0.2,0
Andrew Wiggins,3,27,GSW,6.8,14.3,0.473,2.4,6.1,0.396,4.4,8.2,0.53,1.6,3.4,5.0,2.3,1.2,0.8,0
Jimmy Butler,3,33,MIA,7.5,13.9,0.539,0.6,1.6,0.35,6.9,12.3,0.564,2.2,3.7,5.9,5.3,1.8,0.3,0
Jalen Johnson,3,21,ATL,2.3,4.6,0.491,0.4,1.5,0.288,1.8,3.1,0.587,0.7,3.3,4.0,1.2,0.5,0.5,0
Jabari Walker,3,20,POR,1.5,3.5,0.419,0.3,1.0,0.286,1.2,2.5,0.472,0.9,1.5,2.3,0.6,0.2,0.2,1
Danuel House Jr.,3,29,PHI,1.7,3.5,0.472,0.7,2.0,0.336,1.0,1.6,0.644,0.2,1.5,1.7,0.8,0.3,0.2,1
Jack White,3,25,DEN,0.5,1.1,0.421,0.2,0.5,0.333,0.3,0.6,0.5,0.4,0.6,1.0,0.2,0.2,0.1,1
Ziaire Williams,3,21,MEM,2.3,5.3,0.429,0.7,2.6,0.258,1.6,2.7,0.596,0.4,1.7,2.1,0.9,0.4,0.2,0
AJ Griffin,3,19,ATL,3.4,7.4,0.465,1.4,3.6,0.39,2.0,3.8,0.536,0.5,1.6,2.1,1.0,0.6,0.2,0
Jordan Hall,3,21,SAS,1.0,3.1,0.321,0.3,1.7,0.2,0.7,1.4,0.462,0.3,1.0,1.3,1.2,0.1,0.0,0
Oshae Brissett,3,24,IND,1.9,4.9,0.386,0.7,2.4,0.31,1.2,2.5,0.457,1.0,2.4,3.4,0.7,0.5,0.2,0
Mikal Bridges,3,26,TOT,7.1,15.3,0.468,2.0,5.3,0.382,5.1,9.9,0.514,1.0,3.4,4.4,3.3,1.1,0.7,1
Jaylen Brown,3,26,BOS,10.1,20.6,0.491,2.4,7.3,0.335,7.7,13.4,0.576,1.2,5.7,6.9,3.5,1.1,0.4,1
Ron Harper Jr.,3,22,TOR,0.9,1.8,0.5,0.3,1.0,0.333,0.6,0.8,0.714,0.3,0.4,0.8,0.4,0.0,0.1,0
Josh Hart,3,27,TOT,3.6,6.8,0.529,0.8,2.2,0.372,2.8,4.7,0.601,1.9,5.9,7.8,3.8,1.2,0.3,0
MarJon Beauchamp,3,22,MIL,1.8,4.7,0.395,0.9,2.7,0.331,0.9,1.9,0.485,0.7,1.5,2.2,0.7,0.4,0.1,1
Gordon Hayward,3,32,CHO,5.5,11.6,0.475,1.0,3.2,0.325,4.5,8.4,0.532,0.7,3.6,4.3,4.1,0.8,0.2,1
Buddy Hield,3,30,IND,5.9,13.0,0.458,3.6,8.5,0.425,2.3,4.5,0.518,0.8,4.2,5.0,2.8,1.2,0.3,1
Troy Brown Jr.,3,23,LAL,2.6,6.1,0.43,1.4,3.7,0.381,1.2,2.4,0.505,0.8,3.2,4.1,1.3,0.8,0.2,1
Haywood Highsmith,3,26,MIA,1.7,4.0,0.431,0.7,2.0,0.339,1.0,2.0,0.523,1.1,2.4,3.5,0.8,0.7,0.3,0
Malaki Branham,3,19,SAS,4.1,9.3,0.44,1.2,3.9,0.302,2.9,5.4,0.539,0.4,2.3,2.7,1.9,0.5,0.1,0
Simone Fontecchio,3,27,UTA,2.2,6.0,0.369,1.2,3.7,0.33,1.0,2.3,0.43,0.6,1.1,1.7,0.8,0.3,0.2,0
Malcolm Hill,3,27,CHI,0.4,0.8,0.5,0.2,0.6,0.333,0.2,0.2,1.0,0.0,0.6,0.6,0.0,0.0,0.0,0
Keldon Johnson,3,23,SAS,8.0,17.7,0.452,2.1,6.5,0.329,5.9,11.2,0.523,0.9,4.2,5.0,2.9,0.7,0.2,0
