Player,Pos,Age,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,ORB,DRB,TRB,AST,STL,BLK,testdata
Markieff Morris,4,33,TOT,1.3,3.3,0.409,0.8,2.0,0.394,0.5,1.3,0.432,0.4,1.7,2.0,0.9,0.3,0.1,0
Marcus Morris,4,33,LAC,4.2,9.9,0.426,1.7,4.7,0.364,2.5,5.2,0.484,0.4,3.5,4.0,1.8,0.6,0.3,0
Jeff Green,4,36,DEN,2.9,5.9,0.488,0.5,1.9,0.288,2.3,4.0,0.58,0.7,1.9,2.6,1.2,0.3,0.3,0
Chris Boucher,4,30,TOR,3.4,7.0,0.493,0.8,2.5,0.328,2.6,4.5,0.585,2.1,3.5,5.5,0.4,0.6,0.8,0
Jonathan Isaac,4,25,ORL,2.0,4.8,0.415,0.5,1.4,0.4,1.5,3.5,0.421,1.4,2.6,4.0,0.5,1.3,0.4,0
Isaiah Mobley,4,23,CLE,0.9,2.2,0.429,0.2,0.6,0.375,0.7,1.5,0.45,0.3,1.2,1.5,0.2,0.3,0.2,0
Evan Mobley,4,21,CLE,6.6,12.0,0.554,0.3,1.3,0.216,6.4,10.7,0.595,2.4,6.6,9.0,2.8,0.8,1.5,1
JaMychal Green,4,32,GSW,2.4,4.4,0.54,0.7,1.9,0.378,1.6,2.5,0.667,1.3,2.3,3.6,0.9,0.4,0.4,0
Bol Bol,4,23,ORL,3.7,6.8,0.546,0.4,1.6,0.265,3.3,5.2,0.633,1.0,4.8,5.8,1.0,0.4,1.2,0
T.J. Warren,4,29,TOT,3.1,6.4,0.489,0.5,1.6,0.328,2.6,4.8,0.542,0.6,2.3,2.9,1.0,0.5,0.3,0
Tobias Harris,4,30,PHI,5.7,11.4,0.501,1.7,4.4,0.389,4.0,7.0,0.57,0.9,4.8,5.7,2.5,0.9,0.5,0
Omer Yurtseven,5,24,MIA,1.8,3.0,0.593,0.3,0.8,0.429,1.4,2.2,0.65,0.9,1.7,2.6,0.2,0.2,0.2,1
Daniel Theis,5,30,IND,3.0,6.3,0.477,0.3,1.6,0.182,2.7,4.7,0.576,1.0,2.1,3.1,1.3,0.3,0.9,0
Mark Williams,5,21,CHO,3.7,5.8,0.637,0.0,0.0,0.0,3.7,5.8,0.637,2.2,4.9,7.1,0.4,0.7,1.0,0
Christian Wood,5,27,DAL,5.9,11.5,0.515,1.6,4.2,0.376,4.3,7.3,0.594,1.3,6.0,7.3,1.8,0.4,1.1,0
Robert Williams,5,25,BOS,3.6,4.9,0.747,0.0,0.0,0.0,3.6,4.8,0.751,3.0,5.4,8.3,1.4,0.6,1.4,0
Noah Vonleh,5,27,BOS,0.5,1.0,0.458,0.0,0.2,0.25,0.4,0.9,0.5,0.8,1.3,2.1,0.3,0.1,0.3,1
Nikola Vu?evi?,5,32,CHI,7.3,14.0,0.52,1.5,4.2,0.349,5.8,9.8,0.594,1.9,9.1,11.0,3.2,0.7,0.7,1
James Wiseman,5,21,TOT,4.2,7.5,0.558,0.1,0.4,0.2,4.1,7.1,0.58,1.6,4.3,5.9,0.7,0.2,0.6,0
Moritz Wagner,5,25,ORL,3.5,6.9,0.5,0.9,2.9,0.313,2.6,4.1,0.631,1.2,3.3,4.5,1.5,0.6,0.2,0
Isaiah Stewart,5,21,DET,3.9,8.8,0.442,1.3,4.1,0.327,2.6,4.7,0.542,2.3,5.8,8.1,1.4,0.4,0.7,0
Jonas Valan?i?nas,5,30,NOP,5.6,10.3,0.547,0.5,1.4,0.349,5.2,8.9,0.577,2.8,7.3,10.2,1.8,0.3,0.7,0
Myles Turner,5,26,IND,6.5,11.8,0.548,1.5,4.0,0.373,5.0,7.8,0.638,1.4,6.1,7.5,1.4,0.6,2.3,0
Precious Achiuwa,5,23,TOR,3.6,7.3,0.485,0.5,2.0,0.269,3.0,5.4,0.564,1.8,4.1,6.0,0.9,0.6,0.5,0
Marko Simonovic,5,23,CHI,0.3,1.0,0.286,0.1,0.6,0.25,0.1,0.4,0.333,0.1,0.1,0.3,0.0,0.0,0.0,0
Dewayne Dedmon,5,33,TOT,2.0,4.0,0.51,0.3,1.0,0.308,1.7,2.9,0.58,0.9,2.6,3.5,0.7,0.2,0.5,0
Gorgui Dieng,5,33,SAS,1.5,3.8,0.385,0.7,2.4,0.28,0.8,1.4,0.571,0.9,2.6,3.5,1.7,0.1,0.5,0
Andre Drummond,5,29,CHI,2.5,4.1,0.606,0.0,0.0,0.0,2.5,4.0,0.613,2.1,4.6,6.6,0.5,0.7,0.4,0
Jalen Duren,5,19,DET,3.9,5.9,0.648,0.0,0.0,0.0,3.9,5.9,0.652,3.4,5.5,8.9,1.1,0.7,0.9,0
Joel Embiid,5,28,PHI,11.0,20.1,0.548,1.0,3.0,0.33,10.0,17.1,0.587,1.7,8.4,10.2,4.2,1.0,1.7,0
Drew Eubanks,5,25,POR,2.7,4.3,0.641,0.1,0.2,0.389,2.7,4.1,0.655,1.7,3.7,5.4,1.3,0.5,1.3,0
Bruno Fernando,5,24,TOT,1.5,2.9,0.527,0.0,0.1,0.0,1.5,2.8,0.546,1.4,2.1,3.5,0.8,0.2,0.9,1
Daniel Gafford,5,24,WAS,3.7,5.1,0.732,0.0,0.0,0.0,3.7,5.1,0.732,2.1,3.5,5.6,1.1,0.4,1.3,0
Anthony Davis,5,29,LAL,9.7,17.2,0.563,0.3,1.3,0.257,9.3,15.9,0.589,3.5,9.1,12.5,2.6,1.1,2.0,0
Luka Garza,5,24,MIN,2.3,4.1,0.543,0.5,1.4,0.359,1.8,2.8,0.636,1.2,1.1,2.3,0.6,0.1,0.1,0
Rudy Gobert,5,30,MIN,5.1,7.8,0.659,0.0,0.0,0.0,5.1,7.8,0.663,3.3,8.3,11.6,1.2,0.8,1.4,0
Blake Griffin,5,33,BOS,1.5,3.2,0.485,0.6,1.6,0.348,1.0,1.6,0.625,1.1,2.6,3.8,1.5,0.3,0.2,0
Montrezl Harrell,5,29,PHI,2.2,3.7,0.598,0.0,0.1,0.0,2.2,3.6,0.616,1.2,1.6,2.8,0.6,0.3,0.4,1
Isaiah Hartenstein,5,24,NYK,2.1,4.0,0.535,0.1,0.5,0.216,2.0,3.5,0.576,2.5,4.0,6.5,1.2,0.6,0.8,0
Udonis Haslem,5,42,MIA,1.4,4.1,0.345,0.4,1.3,0.333,1.0,2.9,0.35,0.6,1.0,1.6,0.0,0.1,0.3,0
Jaxson Hayes,5,22,NOP,1.8,3.3,0.551,0.1,0.6,0.103,1.8,2.7,0.654,0.8,2.0,2.8,0.7,0.4,0.4,0
Willy Hernangómez,5,28,NOP,2.3,4.4,0.527,0.1,0.3,0.273,2.3,4.2,0.544,1.5,3.2,4.7,0.9,0.4,0.3,0
Richaun Holmes,5,29,SAC,1.3,2.1,0.618,0.1,0.2,0.625,1.2,1.9,0.617,0.7,1.2,1.9,0.2,0.1,0.3,1
Taj Gibson,5,37,WAS,1.3,2.6,0.52,0.2,0.5,0.333,1.2,2.1,0.564,0.7,1.2,1.9,0.7,0.3,0.2,1
Al Horford,5,36,BOS,3.6,7.6,0.476,2.3,5.2,0.446,1.3,2.4,0.539,1.2,5.0,6.2,3.0,0.5,1.0,0
Chance Comanche,5,26,POR,3.0,5.0,0.6,0.0,0.0,0.0,3.0,5.0,0.6,2.0,1.0,3.0,0.0,0.0,1.0,0
Nic Claxton,5,23,BRK,5.4,7.7,0.705,0.0,0.0,0.0,5.4,7.7,0.708,2.4,6.8,9.2,1.9,0.9,2.5,0
